"AccountId","Account__c","Action_Subtype__c","Action_Type__c","Activity_Type__c","Subject","Assigned_IJM_Team__c","CreatedDate","Date_Completed__c","Id","Type","WhoId","Account__r.Program__r.Name","ActivityDate","CompletedDateTime"
"0011J000017rtX7QAI","0011J000017rtX7QAI","","","Email - Outbound","2018 Celebration Invite","Mass","2017-10-19T17:24:23.000Z","2017-10-19","00T1J00002Dy97BUAR","","0031J00001EW4bVQAT","Athlete","",""
"0011J000017sGvtQAE","0011J000017sGvtQAE","","","Email - Outbound","2018 Celebration Invite","Mass","2017-10-19T17:24:24.000Z","2017-10-19","00T1J00002Dy8XjUAJ","","0031J00001EWIzfQAH","Athlete","",""
"0011J000017sGvtQAE","0011J000017sGvtQAE","Personal Communication","General","Email - Outbound","Pro Athlete program highlights","US - Major Officer","2017-11-21T22:18:33.000Z","2017-07-06","00T1J00002HkD7tUAF","","0031J00001EWIzfQAH","Athlete","2017-07-06",""
"0011J000017sGvtQAE","0011J000017sGvtQAE","Other","General","Task/Other","Valid BriteVerify Phone Verification","NA - D&I","2020-12-15T17:09:40.000Z","2020-12-15","00T1J00004D8OthUAF","Task/Other","0031J00001EWIzfQAH","Athlete","2020-12-15","2020-12-15T17:09:40.000Z"
"0011J000017sGvtQAE","0011J000017sGvtQAE","","","Email - Outbound","Email: Team Freedom March Update + Invite to Zoom with Attn. Kath","Institutional Partnerships","2023-03-23T20:08:16.000Z","2023-03-21","00T5c00005XxDw7EAF","","0031J00001EWIzfQAH","Athlete","2023-03-21",""
"0011J000017ukCLQAY","0011J000017ukCLQAY","","","Email - Outbound","Email","Institutional Partnerships","2017-07-07T13:16:23.000Z","2017-07-07","00T1J000023FNzCUAW","","003o0000016EmrzAAC","Athlete","2017-07-07",""
"0011J000017ukCLQAY","0011J000017ukCLQAY","","","Email - Outbound","2018 Celebration Invite","Mass","2017-10-19T17:24:49.000Z","2017-10-19","00T1J00002DyAXCUA3","","003o0000016EmrzAAC","Athlete","",""
"0011J000017ukCLQAY","0011J000017ukCLQAY","","","Email - Outbound","2018 Celebration Invite","Mass","2017-10-19T17:24:49.000Z","2017-10-19","00T1J00002DyAXDUA3","","0035c00002NZCcyAAH","Athlete","",""
"0011J000017ukCLQAY","0011J000017ukCLQAY","Personal Communication","General","Email - Outbound","June Update","US - Major Officer","2018-07-02T19:07:23.000Z","2017-06-17","00T1J00002jGT9vUAG","","003o0000016EmrzAAC","Athlete","2017-06-17",""
"0011J000017ukCLQAY","0011J000017ukCLQAY","Personal Communication","General","Email - Outbound","June Update","US - Major Officer","2018-07-02T19:07:25.000Z","2017-06-17","00T1J00002jGTBUUA4","","0035c00002NZCcyAAH","Athlete","2017-06-17",""
"0011J000017ukCLQAY","0011J000017ukCLQAY","Stewardship","Relationship Management","Meeting","Face-to-Face Meeting","US - Major Officer","2019-03-11T20:49:51.000Z","2019-03-11","00T1J00003HhJ8JUAV","Meeting","0035c00002NZCcyAAH","Athlete","2019-02-19","2019-03-11T20:49:51.000Z"
"0011J000017ukCLQAY","0011J000017ukCLQAY","Other","General","Task/Other","Valid BriteVerify Phone Verification","NA - D&I","2020-12-15T16:47:40.000Z","2020-12-15","00T1J00004D8HEgUAN","Task/Other","0035c00002NZCcyAAH","Athlete","2020-12-15","2020-12-15T16:47:40.000Z"
"0011J000017ukCLQAY","0011J000017ukCLQAY","Mail/email preferences","General","Task/Other","Opt Out Email Address in Salesforce and Marketing Cloud","NA - D&I","2021-06-21T17:23:01.000Z","2021-06-21","00T5c00004NNXkLEAX","Task/Other","003o0000016EmrzAAC","Athlete","2021-06-21","2021-06-21T17:23:01.000Z"
"0011J000017ukCLQAY","0011J000017ukCLQAY","","General","Task/Other","DAF Model Score from October 2022 added to Household","US - Midlevel Admin","2022-12-05T23:59:27.000Z","","00T5c00005ESLbqEAH","","0035c00002NZCcyAAH","Athlete","2022-10-28","2022-12-05T23:59:27.000Z"
"0011J000017ukCLQAY","0011J000017ukCLQAY","Postcard","Welcome Series","Direct Mail - Outbound","Welcome Series: Postcard","NA - D&I","2022-12-14T22:03:08.000Z","","00T5c00005H8LReEAN","","0035c00002NZCcyAAH","Athlete","2022-12-14","2022-12-14T22:03:08.000Z"
"0011J000017ukCLQAY","0011J000017ukCLQAY","Other","General","Direct Mail - Outbound","Christmas Gift","Institutional Partnerships","2022-12-20T20:46:36.000Z","","00T5c00005HB7geEAD","","0035c00002NZCcyAAH","Athlete","2022-12-20","2022-12-20T20:46:36.000Z"
"0011J000017ukCLQAY","0011J000017ukCLQAY","Welcome Packet","Welcome Series","Direct Mail - Outbound","Welcome Series: Packet","NA - D&I","2022-12-29T16:36:49.000Z","","00T5c00005Ier3zEAB","","0035c00002NZCcyAAH","Athlete","2022-12-29","2022-12-29T16:36:49.000Z"
"0011J000017ukCLQAY","0011J000017ukCLQAY","Fundraising Communication","General","Direct Mail - Outbound","November 2022 Campaign Mailer","US - Midlevel Admin","2023-01-24T22:39:45.000Z","2022-11-04","00T5c00005NNiWrEAL","","0035c00002NZCcyAAH","Athlete","2022-11-04","2023-01-24T22:39:45.000Z"
"0011J000017ukCLQAY","0011J000017ukCLQAY","","SP: Face-to-face Meeting","","SP: Face-to-face Meeting","Mass","2017-02-03T15:30:53.000Z","","00To000001hXGY3EAO","Face-to-Face Meeting","003o0000016EmrzAAC","Athlete","2014-07-28",""
"0011J000019Z89rQAC","0011J000019Z89rQAC","Personal TY for Gift","General","Task/Other","Send Letter","US - Major Officer","2017-12-08T22:48:03.000Z","2017-12-08","00T1J00002JtWmyUAF","","","Athlete","",""
"0011J000019Z89rQAC","0011J000019Z89rQAC","","","Task/Other","Mailed thank you note for recent gift","US - Major Officer","2018-08-09T19:35:21.000Z","2018-08-09","00T1J00002npiUMUAY","","","Athlete","2018-08-09",""
"0011J000019Z89rQAC","0011J000019Z89rQAC","","","Task/Other","Emailed mid-year urgent need report","US - Major Officer","2019-09-18T03:38:01.000Z","","00T1J00003f2bakUAA","","","Athlete","2019-09-17","2019-09-18T03:38:01.000Z"
"0011J000019Z89rQAC","0011J000019Z89rQAC","","","Task/Other","Mailed thank you for $15K gift","US - Major Officer","2019-11-22T18:32:27.000Z","","00T1J00003k6gntUAA","","","Athlete","2019-11-22","2019-11-22T18:32:27.000Z"
"0011J000019Z89rQAC","0011J000019Z89rQAC","","","Email - Outbound","Emailed check in email and zoom and prayer invite","US - Major Officer","2020-04-15T21:29:09.000Z","","00T1J00003w9dFOUAY","","","Athlete","2020-04-15","2020-04-15T21:29:09.000Z"
"0011J00001CKjGVQA1","0011J00001CKjGVQA1","Postcard","Welcome Series","Direct Mail - Outbound","Welcome Series Postcard Sent","NA - D&I","2018-07-10T19:59:49.000Z","2018-07-10","00T1J00002kXLSRUA4","","0031J00001JzLFDQA3","Athlete","2018-06-29",""
"0011J00001CKjGVQA1","0011J00001CKjGVQA1","Welcome Packet","Welcome Series","Direct Mail - Outbound","Welcome Series Welcome Packet Sent","NA - D&I","2018-07-12T14:04:00.000Z","2018-07-12","00T1J00002kYR8gUAG","","0031J00001JzLFDQA3","Athlete","2018-07-13",""
"0011J00001CKjGVQA1","0011J00001CKjGVQA1","Other","General","Task/Other","Valid BriteVerify Phone Verification","NA - D&I","2020-12-15T17:28:50.000Z","2020-12-15","00T1J00004D8VV9UAN","Task/Other","0031J00001JzLFDQA3","Athlete","2020-12-15","2020-12-15T17:28:50.000Z"
"0011J00001CKjGVQA1","0011J00001CKjGVQA1","","General","Task/Other","DAF Model Score from October 2022 added to Household","US - Midlevel Admin","2022-12-05T23:58:48.000Z","","00T5c00005ESFDyEAP","","0031J00001JzLFDQA3","Athlete","2022-10-28","2022-12-05T23:58:48.000Z"
"0011J00001CLmJ2QAL","0011J00001CLmJ2QAL","Stewardship","Relationship Management","Email - Outbound","February IJM Update: Impact, Praises & Prayers","US - Major Officer","2023-02-21T19:52:24.000Z","2023-02-17","00T5c00005S7sIcEAJ","","","Athlete","2023-02-17","2023-02-21T19:52:24.000Z"
"0011J00001I0SXLQA3","0011J00001I0SXLQA3","Other","General","Task/Other","Valid BriteVerify Phone Verification","NA - D&I","2020-12-15T17:09:40.000Z","2020-12-15","00T1J00004D8Ou9UAF","Task/Other","0031J00001PqdnrQAB","Athlete","2020-12-15","2020-12-15T17:09:40.000Z"
"0011J00001KlfKxQAJ","0011J00001KlfKxQAJ","Postcard","Welcome Series","Direct Mail - Outbound","Welcome Series: Postcard Sent","US - Midlevel Admin","2019-01-08T00:17:12.000Z","2019-01-08","00T1J000038cpUpUAI","","0031J00001T7SKkQAN","Athlete","2019-01-08",""
"0011J00001KlfKxQAJ","0011J00001KlfKxQAJ","","General","Task/Other","DAF Model Score from October 2022 added to Household","US - Midlevel Admin","2022-12-05T23:59:59.000Z","","00T5c00005ESRmsEAH","","0031J00001T7SKkQAN","Athlete","2022-10-28","2022-12-05T23:59:59.000Z"
